event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second
validation,0,11.11298594156901,14.484979654947917,,,,
train,1,11.149969100952148,14.525357246398926,1.5975e-05,12.321406364440918,7.428935578092933,143.35835717038134
train,10,10.126026153564453,13.409900665283203,0.00016031999999999998,11.01456356048584,6.528520707041025,164.8152848530497
train,20,7.533166885375977,10.550485610961914,0.00029999419425935436,8.107099533081055,6.395449597388506,168.8700666863207
train,30,4.346247673034668,6.9133501052856445,0.0002995771583526196,5.918367385864258,6.339058021083474,167.37502582736315
train,40,2.5293893814086914,4.41133975982666,0.00029849639146996336,3.4947943687438965,6.418747963383794,168.25711278288804
train,50,2.0481109619140625,3.077098846435547,0.0002967637798391229,2.255079507827759,6.335904432460666,169.51013252308357
train,60,1.7836934328079224,2.4767417907714844,0.00029439111981686245,1.5883516073226929,6.3391113970428705,167.05811487932087
train,70,1.6117182970046997,2.2019810676574707,0.0002913805716577946,1.470462679862976,6.412792880088091,165.76240958922065
train,80,1.4892587661743164,2.017481803894043,0.00028775717146447226,1.4901665449142456,6.776870794594288,158.4802237718179
train,90,1.438340663909912,1.9447555541992188,0.00028353009836988325,1.5193425416946411,6.482040889561176,164.76292238759726
train,100,1.3744802474975586,1.8559781312942505,0.0002787155202494157,1.518656849861145,6.493187515065074,164.9421023981111
validation,100,1.5423162078857422,2.0784088516235353,,,,
train,110,1.3189048767089844,1.7803353071212769,0.00027335401293983303,1.554512619972229,6.635988412424922,161.69407378574738
train,120,1.2803375720977783,1.7363505363464355,0.0002674237687467644,1.572373867034912,6.567171720787883,164.30208404395876
train,130,1.0619750022888184,1.4758212566375732,0.0002610175740776278,1.3424088954925537,6.469649137929082,165.85134326827878
train,140,1.0842609405517578,1.5063413381576538,0.00025418228549958777,1.4845637083053589,6.493751879781485,163.07983729671474
train,150,0.9960966110229492,1.385730266571045,0.00024683677982486,1.736637830734253,6.59146074950695,165.2137578277256
train,160,1.014103651046753,1.4123278856277466,0.0002391276806193612,1.7167432308197021,6.56196752935648,163.36563617606458
train,170,0.9633234739303589,1.3472015857696533,0.0002310648330591772,1.9004640579223633,6.545438269153237,165.15318845713375
train,180,0.9901397824287415,1.378976821899414,0.00022266002512608832,1.9095207452774048,6.553948644548655,162.4974588236711
train,190,0.976132333278656,1.352160096168518,0.00021395987759262628,1.7756379842758179,6.697058759629726,158.2784380495127
train,200,0.6824890375137329,1.0167125463485718,0.00020501370408338034,1.5522148609161377,6.616750091314316,162.1642022431083
validation,200,1.3174106979370117,1.7693879063924154,,,,
train,210,0.6540809869766235,0.9791173934936523,0.00019585317370955231,1.5860695838928223,6.54648057743907,165.58515482895575
train,220,0.6595258712768555,0.9830161333084106,0.0001866019857498652,1.6813384294509888,6.609121272340417,162.65399827038155
train,230,0.6479700803756714,0.9671080708503723,0.0001772119331671348,1.7265523672103882,6.519709834828973,164.88463861646684
train,240,0.6191576719284058,0.9272265434265137,0.00016778305757607093,1.6647001504898071,6.533666590228677,163.30799640063287
train,250,0.6485825777053833,0.962816059589386,0.0001583652738826616,1.7270915508270264,6.536660650745034,164.45706109548058
train,260,0.44833606481552124,0.7169896960258484,0.00014896487113887983,1.2676459550857544,6.507572438567877,163.96283100535337
train,270,0.4187537729740143,0.6728147864341736,0.00013961673571242912,1.370996117591858,6.532503370195627,166.0925281646671
train,280,0.41908079385757446,0.6705180406570435,0.00013037189738655602,1.291006088256836,6.56234110891819,165.0325671928587
train,290,0.4459262490272522,0.7026991844177246,0.00012135224308566229,1.396397352218628,6.615867266431451,162.0346897585551
train,300,0.45419254899024963,0.713243842124939,0.00011250788087382985,1.3772401809692383,6.491871699690819,164.8214951707933
validation,300,1.3658827336629231,1.8029064814249673,,,,
train,310,0.41606640815734863,0.6658799648284912,0.00010392551677697097,1.3514738082885742,6.6174843441694975,163.20401285898944
train,320,0.32542288303375244,0.5324546098709106,9.568406195907711e-05,0.8959267139434814,6.617437817156315,162.14734911722917
train,330,0.32692062854766846,0.5234336256980896,8.774919595917683e-05,0.9348716139793396,6.506730858236551,164.1377249603111
train,340,0.30979400873184204,0.5023100972175598,8.018602708915039e-05,0.9260831475257874,6.520975550636649,165.9260936646762
train,350,0.340060293674469,0.5405758619308472,7.30560905302774e-05,1.0593732595443726,6.560092635452747,161.88795784081267
train,360,0.34586018323898315,0.5466188192367554,6.636030117517616e-05,1.0211007595062256,6.622070346027613,162.03391748075606
train,370,0.3451438248157501,0.5385056734085083,6.0160959618936e-05,0.9669389128684998,6.460858691483736,164.52921364789702
train,380,0.331596314907074,0.5218806862831116,5.4453342348384486e-05,1.0304640531539917,6.47324238717556,166.0682445832296
train,390,0.2960224151611328,0.4605051875114441,4.92989520214751e-05,0.8617518544197083,6.6018272787332535,161.7733931695538
train,400,0.2803712487220764,0.43394923210144043,4.471050923979535e-05,0.6942704916000366,6.584235610440373,164.18002999253235
validation,400,1.43717041015625,1.879145024617513,,,,
train,410,0.27823173999786377,0.4314875304698944,4.072137496967899e-05,0.7115607261657715,6.5256089605391026,164.4290987229728
