event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second
validation,0,11.170295715332031,12.290009562174479,,,,
train,1,11.196459770202637,12.316883087158203,1.3034999999999998e-05,17.25873565673828,112.40173050761223,7.7311976966506615
train,10,8.865228652954102,9.867023468017578,0.00013001999999999998,8.689983367919922,6.431939989328384,138.0609896039661
train,20,3.531505584716797,4.123928070068359,0.00026052,2.4182841777801514,6.416218746453524,133.87947542698734
train,30,2.3858284950256348,2.6486525535583496,0.00029989273927588856,1.1732455492019653,6.377502683550119,138.76905176108107
train,40,1.685408592224121,1.8636484146118164,0.0002993726013319855,0.8128190636634827,6.44318244419992,131.30157454435573
train,50,1.400939702987671,1.5475199222564697,0.0002984133537503081,0.7376812100410461,6.501874182373285,130.57773438644145
train,60,1.3356611728668213,1.4755064249038696,0.0002970228603305382,0.7268264293670654,6.3944325391203165,137.7761036042143
train,70,1.2510955333709717,1.3842555284500122,0.00029521012081807436,0.5853073596954346,6.68157104216516,126.61692806395037
train,80,1.2517963647842407,1.3845988512039185,0.0002929867316161984,0.8279263973236084,6.452840046957135,135.13429647325526
train,90,1.1053106784820557,1.2243913412094116,0.00029032665550545334,0.677666425704956,6.430446727201343,133.73876442551435
train,100,1.0701146125793457,1.1863605976104736,0.0002872811320032484,0.6569351553916931,6.323202233761549,137.58851414791047
validation,100,1.46411314646403,1.6248077646891277,,,,
train,110,1.0205295085906982,1.136519432067871,0.00028382029124129893,0.667770504951477,6.363709010183811,137.18414820711357
train,120,0.9917057156562805,1.1020230054855347,0.0002800042737156214,0.6019490361213684,6.393355147913098,132.48129978771405
train,130,0.961214005947113,1.0718761682510376,0.0002757976259364512,0.5985099673271179,6.567437406629324,131.71042926527917
train,140,0.8905803561210632,0.9986162781715393,0.0002712329567056757,0.6177988648414612,6.496796285733581,132.98862423888394
train,150,0.8349407911300659,0.935459315776825,0.00026635667873249125,0.5013224482536316,6.442449485883117,133.17915831238952
train,160,0.7774055600166321,0.8749744296073914,0.00026110200641572156,0.8499634861946106,6.4803078677505255,129.31484384720915
train,170,0.8431633710861206,0.9451903104782104,0.0002555366542287906,0.5621407628059387,6.4584381598979235,134.24298236428467
train,180,0.7361700534820557,0.8295838832855225,0.0002496791671270288,0.4649037718772888,6.600952295586467,131.64767159142045
train,190,0.7820775508880615,0.8796938061714172,0.00024356336985137565,0.5454333424568176,6.3543245904147625,135.65564486590623
train,200,0.6672104597091675,0.7452044486999512,0.00023721646711040943,0.47712504863739014,6.4035452995449305,133.83211329213256
validation,200,1.0219490242004394,1.1489122263590494,,,,
train,210,0.7359310388565063,0.8206765055656433,0.00023062362029272493,0.47987815737724304,6.4477490950375795,134.93080874837133
train,220,0.7360780239105225,0.8223655223846436,0.0002238079004210766,0.6593368649482727,6.3451960273087025,135.8508068608268
train,230,0.7279351949691772,0.8103070855140686,0.00021678876558045657,0.5272939205169678,6.3525822926312685,137.5818462066684
