id,host,output,model,kind,state,parent_experiment_id,review_family,review_decision,batch,input_batch_target,input_batch_policy,ce_tokens,ce_token_budget,optimizer_updates,data_sha256,tokenizer_sha256,audit_findings,limitations
exp-b043eae6c700,local,mf1-draft-v1,minifrontier1,training,updates_complete_unqualified,,mf1-integration,integration_only,,,mf1_whole_example,0,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-b975f2daabc8,local,mf1-language-instructions-v1/adamw-lr1e-4,minifrontier1,training,stopped_for_review,,mf1-instructions,stopped_for_review,,512,mf1_whole_example,1501,100000,15,5ce5f1ddcfbe1d5540768da71c2c1cb3b02631f0f443ebc83c3d0ed9641c630e,bb945c7cb8b57a26b01f2dfb36ab6cb3a53da76fc533b102774313b7964a43fb,[],"[""约 2 CE/s；先修执行性能，再以新计划恢复研究"", ""初始检查点来自不同 LR 控制分支，因此不是同初始化的独立 LR 消融""]"
exp-3e88b55a595f,local,mf1-language-instructions-v1/adamw-lr2e-5,minifrontier1,training,stopped_for_review,,mf1-instructions,stopped_for_review,,512,mf1_whole_example,1708,100000,17,5ce5f1ddcfbe1d5540768da71c2c1cb3b02631f0f443ebc83c3d0ed9641c630e,bb945c7cb8b57a26b01f2dfb36ab6cb3a53da76fc533b102774313b7964a43fb,[],"[""约 2 CE/s；先修执行性能，再以新计划恢复研究"", ""初始检查点来自不同 LR 控制分支，因此不是同初始化的独立 LR 消融""]"
exp-01572ccd7781,local,mf1-language-sft-v1/adamw-lr1e-4,minifrontier1,training,complete,,mf1-learning,retain_diagnostic,,512,mf1_whole_example,30129,30000,177,42e8471df251d74101227a95af123bfe201b867cf61a643922598c1f0e4efb56,bb945c7cb8b57a26b01f2dfb36ab6cb3a53da76fc533b102774313b7964a43fb,[],"[""不能证明融合优于简单基线"", ""生成数据和训练内 32/32 不代表开放域对话能力"", ""视觉匹配、置黑、错配以及留出结果分别解释""]"
exp-631d6a908205,local,mf1-language-sft-v1/adamw-lr2e-5,minifrontier1,training,complete,,mf1-learning,retain_diagnostic,,512,mf1_whole_example,30129,30000,177,42e8471df251d74101227a95af123bfe201b867cf61a643922598c1f0e4efb56,bb945c7cb8b57a26b01f2dfb36ab6cb3a53da76fc533b102774313b7964a43fb,[],"[""不能证明融合优于简单基线"", ""生成数据和训练内 32/32 不代表开放域对话能力"", ""视觉匹配、置黑、错配以及留出结果分别解释""]"
exp-41788d56659e,local,mf1-mechanism-v1/adamw-lr1.5e-4,minifrontier1,training,complete,,mf1-learning,retain_diagnostic,,1024,mf1_whole_example,500853,500000,477,460c78731e3842c7dc2cbeec651e57ba234a0c93fec6af29a2e41154fece2db1,bb945c7cb8b57a26b01f2dfb36ab6cb3a53da76fc533b102774313b7964a43fb,[],"[""不能证明融合优于简单基线"", ""生成数据和训练内 32/32 不代表开放域对话能力"", ""视觉匹配、置黑、错配以及留出结果分别解释""]"
exp-9cff03153b4b,local,mf1-mechanism-v1/adamw-lr3e-4,minifrontier1,training,complete,,mf1-learning,retain_diagnostic,,1024,mf1_whole_example,500853,500000,477,460c78731e3842c7dc2cbeec651e57ba234a0c93fec6af29a2e41154fece2db1,bb945c7cb8b57a26b01f2dfb36ab6cb3a53da76fc533b102774313b7964a43fb,[],"[""不能证明融合优于简单基线"", ""生成数据和训练内 32/32 不代表开放域对话能力"", ""视觉匹配、置黑、错配以及留出结果分别解释""]"
exp-a6c93a594cf8,local,mf1-overfit-reference-v1,minifrontier1,training,budget_complete_unqualified,,mf1-learning,retain_diagnostic,,64,mf1_whole_example,9404,,600,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""不能证明融合优于简单基线"", ""生成数据和训练内 32/32 不代表开放域对话能力"", ""视觉匹配、置黑、错配以及留出结果分别解释""]"
exp-e30f3aa30eb4,local,mf1-overfit-reference-v2,minifrontier1,training,budget_complete_unqualified,,mf1-learning,retain_diagnostic,,64,mf1_whole_example,9404,,600,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""不能证明融合优于简单基线"", ""生成数据和训练内 32/32 不代表开放域对话能力"", ""视觉匹配、置黑、错配以及留出结果分别解释""]"
exp-a93314a9e297,local,mf1-performance-v1/batch-screen-512,minifrontier1,synthetic,complete,,mf1-performance,finish_bounded_measurements,,,mf1_whole_example,0,,0,,,[],"[""512 短序列吞吐不能外推 8K native 多模态"", ""MB 8/16 仍约 68 CE/s，批量大小未解决 reference 调度瓶颈"", ""性能通过不等于正确性或能力通过""]"
exp-02534d9c0286,local,mf1-performance-v1/operator-baseline,minifrontier1,synthetic,complete,,mf1-performance,finish_bounded_measurements,,,mf1_whole_example,0,,0,,,[],"[""512 短序列吞吐不能外推 8K native 多模态"", ""MB 8/16 仍约 68 CE/s，批量大小未解决 reference 调度瓶颈"", ""性能通过不等于正确性或能力通过""]"
exp-71b8c33efdef,local,mf1-performance-v2/batch-screen-512,minifrontier1,synthetic,complete,,mf1-performance,finish_bounded_measurements,,,mf1_whole_example,0,,0,,,[],"[""512 短序列吞吐不能外推 8K native 多模态"", ""MB 8/16 仍约 68 CE/s，批量大小未解决 reference 调度瓶颈"", ""性能通过不等于正确性或能力通过""]"
exp-40eeec9d2e47,local,mf1-performance-v2/image-196,minifrontier1,synthetic,complete,,mf1-performance,finish_bounded_measurements,,,mf1_whole_example,0,,0,,,[],"[""512 短序列吞吐不能外推 8K native 多模态"", ""MB 8/16 仍约 68 CE/s，批量大小未解决 reference 调度瓶颈"", ""性能通过不等于正确性或能力通过""]"
exp-62f39c60a574,local,mf1-performance-v2/length-2048,minifrontier1,synthetic,complete,,mf1-performance,finish_bounded_measurements,,,mf1_whole_example,0,,0,,,[],"[""512 短序列吞吐不能外推 8K native 多模态"", ""MB 8/16 仍约 68 CE/s，批量大小未解决 reference 调度瓶颈"", ""性能通过不等于正确性或能力通过""]"
