model,microbatch,ce_per_second,peak_reserved_gib,measured_updates
minifrontier1,1,47.93754577117126,3.955078125,1
minideepseekv4,2,640.6797125830853,5.119140625,2
minideepseekv4,4,1262.985898340897,5.87109375,2
minideepseekv4,8,2317.8350568801275,7.701171875,2
minideepseekv4,16,4057.655597235639,11.587890625,2
minideepseekv4,32,5802.1219564738085,19.232421875,2
minikimik3,2,729.2994156320634,3.61328125,2
minikimik3,4,1484.0876056931522,3.787109375,2
minikimik3,8,2712.160998515685,4.345703125,2
minikimik3,16,4441.200138847182,4.958984375,2
minikimik3,32,6570.849332618301,6.48046875,2
miniqwen4,2,358.58774606300125,6.99609375,2
miniqwen4,4,645.5343263512135,7.14453125,2
miniqwen4,8,1099.2094077082975,8.19921875,2
miniqwen4,16,1624.4542831265378,9.505859375,2
miniqwen4,32,2095.795462338496,11.015625,2
