path,bytes,gib,retain_model,observed_state,decision,requirements
outputs/strategy-batch16-gpu-v1/minikimik3/seed-42/checkpoint.pt,2048926985,1.9082,outputs/strategy-batch16-gpu-v1/minikimik3/seed-42/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-batch16-gpu-v1/minideepseekv4/seed-42/checkpoint.pt,2221706786,2.0691,outputs/strategy-batch16-gpu-v1/minideepseekv4/seed-42/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-single-gpu-v2/minikimik3/lower-lr/checkpoint.pt,2048926985,1.9082,outputs/strategy-single-gpu-v2/minikimik3/lower-lr/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-single-gpu-v2/minikimik3/reference/checkpoint.pt,2048926985,1.9082,outputs/strategy-single-gpu-v2/minikimik3/reference/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-single-gpu-v2/minideepseekv4/lower-lr/checkpoint.pt,2221706786,2.0691,outputs/strategy-single-gpu-v2/minideepseekv4/lower-lr/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-single-gpu-v2/minideepseekv4/reference/checkpoint.pt,2221706786,2.0691,outputs/strategy-single-gpu-v2/minideepseekv4/reference/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-recipe-pilots-v2/minikimik3/muon-20m/checkpoint.pt,2048936391,1.9082,outputs/strategy-recipe-pilots-v2/minikimik3/muon-20m/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-recipe-pilots-v2/minikimik3/adamw-20m/checkpoint.pt,2462437365,2.2933,outputs/strategy-recipe-pilots-v2/minikimik3/adamw-20m/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-recipe-pilots-v2/minideepseekv4/muon-20m/checkpoint.pt,2221716256,2.0691,outputs/strategy-recipe-pilots-v2/minideepseekv4/muon-20m/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-recipe-pilots-v2/minideepseekv4/adamw-20m/checkpoint.pt,2927289977,2.7263,outputs/strategy-recipe-pilots-v2/minideepseekv4/adamw-20m/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-recipe-pilots-v2/miniqwen4-after-q0-extension/muon-20m/checkpoint.pt,4799702722,4.4701,outputs/strategy-recipe-pilots-v2/miniqwen4-after-q0-extension/muon-20m/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-recipe-pilots-v2/miniqwen4-after-q0-extension/adamw-20m/checkpoint.pt,6158275541,5.7353,outputs/strategy-recipe-pilots-v2/miniqwen4-after-q0-extension/adamw-20m/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-shared-gpu-v2/miniqwen4/mtp-0/checkpoint.pt,4431544017,4.1272,outputs/strategy-shared-gpu-v2/miniqwen4/mtp-0/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-shared-gpu-v2/minikimik3/mtp-0/checkpoint.pt,2012938196,1.8747,outputs/strategy-shared-gpu-v2/minikimik3/mtp-0/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
outputs/strategy-shared-gpu-v2/minikimik3/mtp-0.2/checkpoint.pt,2048926985,1.9082,outputs/strategy-shared-gpu-v2/minikimik3/mtp-0.2/model.pt,complete,candidate_only_not_deleted,verify retained weights load; compare metadata; no live or planned resume dependency; record hashes; authorize exact retirement
