event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second,ce_tokens,input_tokens
validation,0,11.192768474663248,13.431695170136033,,,,,,
train,1,11.185264587402344,13.424564361572266,1.2854249999999998e-05,3.367438793182373,34.580777406692505,495.6221717757868,17139,17252
train,10,10.68166446685791,12.843545913696289,0.00012553574999999998,2.426236152648926,38.325503155589104,424.6258668524936,167381,168436
train,20,9.679268836975098,11.617660522460938,0.00024995925,1.6449856758117676,29.331678392365575,556.4291201368148,333279,335336
train,30,8.57884407043457,10.304950714111328,0.0003,1.13775634765625,33.547677006572485,504.23759584563504,500006,503067
train,40,8.088508605957031,9.707935333251953,0.0003,0.6438907384872437,30.291301736608148,552.303765136022,664524,668675
train,50,7.784021854400635,9.334437370300293,0.0003,0.5279695987701416,34.339157870039344,490.51872686418625,831245,836407
train,60,7.55109167098999,9.05338191986084,0.0003,0.5094791054725647,36.652219807729125,448.4857966647247,999999,1006162
train,70,7.26560640335083,8.709077835083008,0.0003,0.5094991326332092,31.791241170838475,533.3544515888052,1166925,1174162
train,80,7.276758193969727,8.726536750793457,0.0003,0.45728081464767456,32.17910103686154,521.7982932700858,1333163,1341411
train,90,7.036975383758545,8.436692237854004,0.0003,0.520789623260498,33.5608895290643,485.0586569197491,1501055,1510384
train,100,6.910989761352539,8.288866996765137,0.0003,0.44346094131469727,34.66117432527244,492.68382657043094,1668210,1678555
train,110,6.88297700881958,8.258576393127441,0.0003,0.4557154178619385,35.56771443411708,470.3703981595268,1835272,1846640
train,120,6.855889320373535,8.224724769592285,0.0003,0.5027669072151184,31.405129842460155,525.837660370786,2000466,2012915
train,130,6.740945339202881,8.08763313293457,0.0003,0.5101905465126038,35.21678131073713,465.94263840338846,2167694,2181124
train,140,6.752900123596191,8.104684829711914,0.0003,0.47538232803344727,35.14119062386453,487.8320767071027,2335380,2349822
train,150,6.569005966186523,7.885076522827148,0.0003,0.46944597363471985,36.94629538431764,449.923323220543,2502235,2517737
train,160,6.544925689697266,7.856776237487793,0.0003,0.4814990758895874,31.262028379365802,548.4289052503193,2669323,2685849
train,170,6.506244659423828,7.811100482940674,0.0003,0.4912682771682739,33.25364083610475,501.32856375533044,2836334,2853870
train,180,6.578411102294922,7.899034023284912,0.0003,0.4622509181499481,31.806438103318214,524.642210668007,3002986,3021605
train,190,6.2801971435546875,7.541599273681641,0.0003,0.5069835782051086,33.50647630169988,486.20451322043414,3168930,3188553
train,200,6.643904685974121,7.977175235748291,0.0003,0.4995732009410858,31.855400605127215,511.53021749716356,3333442,3354091
validation,200,6.552118243672862,7.867123015990475,,,,,,
train,210,6.338335990905762,7.613121509552002,0.0003,0.4617556035518646,33.22774923034012,500.33482210163606,3501013,3522753
train,220,6.331307411193848,7.604124069213867,0.0003,0.47783732414245605,30.47619155049324,557.7796678379547,3667657,3690376
train,230,6.142016410827637,7.375650882720947,0.0003,0.4640781283378601,34.6618398912251,479.2878869712194,3834224,3857952
train,240,6.256236553192139,7.51238489151001,0.0003,0.45799797773361206,33.33736602962017,512.9379443116978,4000469,4025193
train,250,6.234139919281006,7.48577356338501,0.0003,0.562999963760376,31.069947196170688,536.9819232282529,4167369,4193166
train,260,6.262375831604004,7.518351078033447,0.0003,0.4804794490337372,30.89506444707513,535.4253275094252,4334628,4361450
train,270,6.314490795135498,7.583105087280273,0.0003,0.4391329884529114,30.51815609820187,559.2736319022121,4502369,4530272
train,280,6.27673864364624,7.536949634552002,0.0003,0.483978807926178,30.66759331896901,546.8965179483423,4668135,4697039
train,290,6.1759114265441895,7.417154788970947,0.0003,0.5373609066009521,33.09782203659415,505.62239356708056,4834709,4864645
