event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second,ce_tokens,input_tokens
validation,0,11.192768474663248,11.192768474663248,,,,,,
train,1,11.185264587402344,11.185264587402344,1.2854249999999998e-05,3.3220109939575195,30.88051688671112,555.0101399816745,17139,17252
train,10,10.709588050842285,10.709588050842285,0.00012553574999999998,2.4742565155029297,35.51214777491987,458.265720878008,167381,168436
train,20,9.703047752380371,9.703047752380371,0.00024995925,1.3821861743927002,26.277070492506027,621.1118550926213,333279,335336
train,30,8.552882194519043,8.552882194519043,0.0003,0.8544732928276062,31.26853640563786,540.9911030229725,500006,503067
train,40,8.092278480529785,8.092278480529785,0.0003,0.5001744031906128,28.909978268668056,578.6929289438995,664524,668675
train,50,7.8036789894104,7.8036789894104,0.0003,0.40805020928382874,32.43493920005858,519.3165276526734,831245,836407
train,60,7.579986572265625,7.579986572265625,0.0003,0.46832913160324097,33.930134292691946,484.46610491431227,999999,1006162
train,70,7.288007736206055,7.288007736206055,0.0003,0.4495287537574768,29.930642308667302,566.5097268924927,1166925,1174162
train,80,7.294271469116211,7.294271469116211,0.0003,0.38155287504196167,30.578647146001458,549.1086613423195,1333163,1341411
train,90,7.065499782562256,7.065499782562256,0.0003,0.4889656603336334,31.412337178364396,518.2358736175908,1501055,1510384
train,100,6.937563896179199,6.937563896179199,0.0003,0.39694443345069885,32.78019422478974,520.9548144496858,1668210,1678555
train,110,6.909219264984131,6.909219264984131,0.0003,0.4011361002922058,29.90311504714191,559.4734854086389,1835272,1846640
train,120,6.881312370300293,6.881312370300293,0.0003,0.3955993056297302,28.853172831237316,572.3460673316816,2000466,2012915
train,130,6.746801853179932,6.746801853179932,0.0003,0.4258224368095398,31.249042028561234,525.1040971112772,2167694,2181124
train,140,6.771393299102783,6.771393299102783,0.0003,0.4230532646179199,31.392307622358203,546.0891950418588,2335380,2349822
train,150,6.582979679107666,6.582979679107666,0.0003,0.3924623429775238,33.15409341827035,501.3860518001527,2502235,2517737
train,160,6.5690388679504395,6.5690388679504395,0.0003,0.42475995421409607,29.53768872655928,580.4448736228912,2669323,2685849
train,170,6.51570463180542,6.51570463180542,0.0003,0.41918113827705383,31.021592538803816,537.3998765262239,2836334,2853870
train,180,6.605473518371582,6.605473518371582,0.0003,0.394616037607193,32.09130407311022,519.9851013216469,3002986,3021605
train,190,6.306821346282959,6.306821346282959,0.0003,0.45187273621559143,31.400188038125634,518.8185491188688,3168930,3188553
train,200,6.66805362701416,6.66805362701416,0.0003,0.4443633258342743,31.505509139969945,517.2111305234264,3333442,3354091
validation,200,6.580472393854317,6.580472393854317,,,,,,
train,210,6.355772018432617,6.355772018432617,0.0003,0.443558007478714,30.099146243184805,552.3412480101263,3501013,3522753
train,220,6.353437900543213,6.353437900543213,0.0003,0.4279821515083313,28.36670462973416,599.258892489808,3667657,3690376
train,230,6.163536071777344,6.163536071777344,0.0003,0.39886680245399475,32.71803295053542,507.76279934421103,3834224,3857952
train,240,6.2809553146362305,6.2809553146362305,0.0003,0.4009909927845001,31.20078386180103,548.0631536611953,4000469,4025193
train,250,6.260069370269775,6.260069370269775,0.0003,0.4735334813594818,28.53580786846578,584.6689211289889,4167369,4193166
train,260,6.279933452606201,6.279933452606201,0.0003,0.3981880843639374,28.33806665800512,583.7377757500302,4334628,4361450
train,270,6.335678577423096,6.335678577423096,0.0003,0.3980275094509125,28.320604022592306,602.6707617670965,4502369,4530272
train,280,6.294861316680908,6.294861316680908,0.0003,0.4154989719390869,28.297784699127078,592.6965724817808,4668135,4697039
train,290,6.186600208282471,6.186600208282471,0.0003,0.4500737488269806,31.123389847576618,537.6984988446895,4834709,4864645
train,300,6.121016979217529,6.121016979217529,0.0003,0.40906596183776855,28.80082017555833,573.9419884308746,5001683,5032683
train,310,6.230732440948486,6.230732440948486,0.0003,0.42090222239494324,30.2196196410805,544.3152559617017,5169201,5201196
train,320,6.265926837921143,6.265926837921143,0.0003,0.4166320860385895,32.323281425982714,530.206069555296,5337680,5370670
train,330,6.139895439147949,6.139895439147949,0.0003,0.4255100190639496,33.79369601607323,486.5404480226053,5504705,5538774
train,340,6.12721586227417,6.12721586227417,0.0003,0.4633259177207947,28.913394896313548,581.045569371793,5670368,5705429
train,350,6.070738315582275,6.070738315582275,0.0003,0.4517870247364044,26.235457438975573,630.5588548810133,5836328,5872403
train,360,5.984596252441406,5.984596252441406,0.0003,0.4330860376358032,29.40262438170612,563.7592000227485,6002647,6039832
train,370,6.009309768676758,6.009309768676758,0.0003,0.41600438952445984,30.774518875405192,560.5611600247273,6169367,6207559
train,380,5.742819786071777,5.742819786071777,0.0003,0.43301352858543396,33.30702540278435,511.0933742698301,6337229,6376440
train,390,6.052272796630859,6.052272796630859,0.0003,0.5047416687011719,32.48037236556411,501.6568103534121,6503591,6543879
train,400,6.117730140686035,6.117730140686035,0.0003,0.3960704803466797,31.184005511924624,551.3082658167776,6670456,6711763
validation,400,6.109614530974834,6.109614530974834,,,,,,
train,410,5.896479606628418,5.896479606628418,0.0003,0.42231908440589905,30.103549484163523,545.6831596766255,6837045,6879352
train,420,5.950351715087891,5.950351715087891,0.0003,0.4120681583881378,31.162865161895752,543.2748212350217,7005044,7048422
train,430,5.70916748046875,5.70916748046875,0.0003,0.42664384841918945,31.01631262525916,543.778372489856,7171591,7215973
train,440,6.00186824798584,6.00186824798584,0.0003,0.42150020599365234,32.27452905662358,522.114512358523,7339138,7384521
train,450,5.686338901519775,5.686338901519775,0.0003,0.40217339992523193,32.04519706219435,523.5105893541737,7506079,7552552
train,460,6.025481700897217,6.025481700897217,0.0003,0.42526909708976746,28.46719872020185,594.4034102657229,7672521,7720006
train,470,5.915663719177246,5.915663719177246,0.0003,0.41356194019317627,30.71753072924912,554.8297534141219,7839271,7887762
train,480,5.713593006134033,5.713593006134033,0.0003,0.5180639624595642,31.793721064925194,519.7881671746649,8004977,8054562
train,490,5.6121721267700195,5.6121721267700195,0.0003,0.4931442439556122,27.078521508723497,618.7191569747486,8171720,8222305
train,500,5.913148880004883,5.913148880004883,0.0003,0.40810394287109375,32.31358076445758,520.4313357465288,8339524,8391133
train,510,5.915133953094482,5.915133953094482,0.0003,0.4417073428630829,33.358964720740914,490.15310087946995,8506895,8559590
train,520,5.818571090698242,5.818571090698242,0.0003,0.4041083753108978,32.08238176256418,528.4208674239351,8674362,8728070
train,530,5.854486465454102,5.854486465454102,0.0003,0.43544599413871765,30.042762380093336,545.4225477899976,8842519,8897321
train,540,5.567666053771973,5.567666053771973,0.0003,0.4416206181049347,28.392655331641436,585.6796346014265,9009666,9065474
train,550,5.695401668548584,5.695401668548584,0.0003,0.42604056000709534,31.098817659541965,524.4572375244513,9175409,9232209
train,560,5.653056621551514,5.653056621551514,0.0003,0.4485667049884796,32.05579361692071,524.5229677023095,9342898,9400803
train,570,5.858433723449707,5.858433723449707,0.0003,0.44296765327453613,28.35089678876102,580.7223708890481,9508467,9567384
