event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second,ce_tokens,input_tokens
validation,0,11.11579754286564,11.119798239449795,,,,,,
train,1,11.119340896606445,11.12333869934082,1.2579e-05,1.9164063930511475,97.01348711922765,172.8831783913462,16772,16868
train,10,11.093329429626465,11.097331047058105,0.00012473699999999998,1.765778660774231,95.20717259682715,173.4953318060248,166316,167272
train,20,10.525405883789062,10.529451370239258,0.00025001324999999997,0.794140636920929,76.23697811923921,218.94886722677688,333351,335221
train,30,9.743797302246094,9.747774124145508,0.0003,0.8310572504997253,67.68923667818308,242.54964017479733,501180,504027
train,40,8.743221282958984,8.747187614440918,0.0003,0.9024865627288818,81.22776307351887,201.64287898923726,667733,671514
train,50,8.040559768676758,8.0445556640625,0.0003,0.47420749068260193,82.67701769061387,207.27646543962754,835155,839862
train,60,7.699687480926514,7.7036967277526855,0.0003,0.4593462347984314,83.23247114382684,205.56880944257546,1001745,1007412
train,70,7.372781753540039,7.376784324645996,0.0003,0.4894923269748688,71.03478986956179,231.77375522940454,1168303,1174883
train,80,7.283018112182617,7.287018299102783,0.0003,0.3820539712905884,76.85151150636375,215.9228839451768,1335698,1343198
train,90,7.096458911895752,7.100452423095703,0.0003,0.5021861791610718,78.39681051671505,217.22822507388895,1504292,1512776
train,100,6.93635368347168,6.940357208251953,0.0003,0.4267716705799103,89.05382032133639,186.5950269178821,1671269,1680694
train,110,6.8540544509887695,6.85805082321167,0.0003,0.37267401814460754,82.94152441807091,209.00266930979063,1839657,1850024
train,120,7.0493574142456055,7.0533528327941895,0.0003,0.39381489157676697,75.90113536454737,216.3076997616122,2006746,2018083
train,130,6.7350873947143555,6.739085674285889,0.0003,0.3655318319797516,69.96890367567539,234.31837771812485,2173124,2185375
train,140,6.6740288734436035,6.678025245666504,0.0003,0.39332735538482666,82.90254241228104,206.89353427427736,2340441,2353626
train,150,6.741725444793701,6.745723724365234,0.0003,0.3719969689846039,76.82672478072345,214.13121601830554,2506619,2520772
train,160,6.625053405761719,6.629047393798828,0.0003,0.3655145466327667,83.25188657827675,205.06442198097486,2674343,2689422
train,170,6.579757213592529,6.583752632141113,0.0003,0.3327377736568451,89.46606553159654,192.89995483153362,2842709,2858770
train,180,6.589658737182617,6.593658447265625,0.0003,0.3766390085220337,79.18484099581838,208.587903849832,3010709,3027705
train,190,6.376265525817871,6.380262851715088,0.0003,0.461319237947464,87.71150241047144,189.5076420218243,3179021,3196935
train,200,6.406074047088623,6.41007137298584,0.0003,0.36628735065460205,75.43192438781261,225.40854072055387,3346126,3365034
validation,200,6.6784662316084145,6.682525574207078,,,,,,
train,210,6.554910659790039,6.558907985687256,0.0003,0.3383760154247284,72.0605822969228,230.11193458962794,3512673,3532508
train,220,6.209550857543945,6.213549613952637,0.0003,0.3654366731643677,75.27045688591897,217.57540312026038,3680270,3701088
train,230,6.115147590637207,6.119138717651367,0.0003,0.3413904011249542,74.8154695443809,226.10297179202152,3847759,3869495
train,240,6.108371734619141,6.112370491027832,0.0003,0.36490216851234436,88.15271019749343,192.6202831649618,4015484,4038149
train,250,6.266293048858643,6.270288944244385,0.0003,0.3656105101108551,76.03923534788191,215.52031559791968,4182971,4206590
train,260,6.366083145141602,6.370079517364502,0.0003,0.35035771131515503,72.70317046716809,230.9390345993531,4348983,4373521
train,270,6.063703536987305,6.067699909210205,0.0003,0.49828624725341797,72.24553229287267,227.0174982379918,4515244,4540700
train,280,6.214247703552246,6.218243598937988,0.0003,0.35911354422569275,80.72702215239406,202.18756452068573,4680257,4706705
train,290,6.139529705047607,6.143521785736084,0.0003,0.35628634691238403,71.87328641489148,228.5828409899462,4845705,4873082
train,300,6.063539981842041,6.067532062530518,0.0003,0.34645289182662964,80.79487857595086,202.48808202144713,5013345,5041641
train,310,5.905489921569824,5.909477710723877,0.0003,0.3366553783416748,72.14389322884381,230.3867902897534,5180821,5210075
train,320,6.064650058746338,6.06864070892334,0.0003,0.32233744859695435,77.28085261024535,220.5332811990814,5348960,5379126
train,330,5.869466304779053,5.8734612464904785,0.0003,0.3630838692188263,67.5087519902736,252.4561556471299,5517174,5548239
train,340,5.823166847229004,5.827157020568848,0.0003,0.41139131784439087,78.28233538381755,219.62809254096575,5685152,5717213
train,350,6.096114158630371,6.100105285644531,0.0003,0.35957762598991394,76.96051555871964,211.8358989885024,5852129,5885143
train,360,5.9101667404174805,5.914150238037109,0.0003,0.35311129689216614,73.91923559270799,226.69336155382334,6019925,6053872
train,370,5.881429195404053,5.885417461395264,0.0003,0.34548357129096985,75.05955507420003,224.26192086217083,6186887,6221811
train,380,5.851081371307373,5.85506534576416,0.0003,0.34205755591392517,76.77051207609475,218.88612626868914,6354389,6390235
train,390,6.004209041595459,6.0081939697265625,0.0003,0.32954084873199463,72.33215336687863,237.9163235015773,6521904,6558723
train,400,5.777604103088379,5.7815842628479,0.0003,0.37005969882011414,68.95720032416284,240.1924660824182,6687769,6725500
validation,400,6.097827572296245,6.101891468423471,,,,,,
train,410,5.919743061065674,5.92372465133667,0.0003,0.34670472145080566,71.15224112384021,230.50574009965646,6854011,6892672
train,420,5.490361213684082,5.494342803955078,0.0003,0.3739934265613556,73.13426318019629,226.1730587104495,7019373,7058951
train,430,5.662124156951904,5.666103839874268,0.0003,0.3441251814365387,71.18821432814002,237.45503605528717,7186752,7227294
train,440,5.68821382522583,5.692187309265137,0.0003,0.3593127131462097,76.97073199041188,215.70536710068197,7353033,7394508
train,450,5.80466890335083,5.8086442947387695,0.0003,0.35571786761283875,50.835359865799546,321.1347385578941,7520405,7562877
train,460,5.64993953704834,5.653916358947754,0.0003,0.34884193539619446,49.12129768356681,343.51698338061374,7688665,7732064
train,470,5.452054023742676,5.45602560043335,0.0003,0.36595895886421204,56.73349809832871,291.0097306424749,7854965,7899318
train,480,5.672847747802734,5.676814556121826,0.0003,0.3592836260795593,48.41060354746878,337.61198585293346,8021416,8066749
train,490,5.181944847106934,5.185913562774658,0.0003,0.36494165658950806,52.66675416007638,322.72731196494436,8188610,8234860
train,500,5.6576995849609375,5.661665439605713,0.0003,0.3371535539627075,60.12712558917701,281.7696644232997,8355888,8403073
train,510,5.387317180633545,5.391281604766846,0.0003,0.42140209674835205,58.583963269367814,286.1363257880673,8522610,8570785
train,520,5.59769344329834,5.601659297943115,0.0003,0.343818724155426,53.84294079057872,306.55829264972414,8689088,8738197
train,530,5.346132755279541,5.350093841552734,0.0003,0.3403986096382141,52.19464064948261,314.51504973935914,8855999,8906048
train,540,5.617750644683838,5.621711730957031,0.0003,0.3597259819507599,52.14801982790232,314.1250627360386,9022630,9073652
train,550,5.424613952636719,5.428577899932861,0.0003,0.3431989550590515,49.67609688825905,337.50638738211023,9189226,9241168
train,560,5.395759105682373,5.399721145629883,0.0003,0.35526958107948303,54.10356690362096,308.6487815072761,9355949,9408824
train,570,5.343499660491943,5.3474602699279785,0.0003,0.3636889159679413,51.711274798959494,323.4110948728054,9523417,9577262
