event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second,ce_tokens,input_tokens
validation,0,11.205765385370269,14.56557774227957,,,,,,
train,1,11.2042236328125,14.564435005187988,1.2839999999999999e-05,2.2211124897003174,36.29602829180658,471.6769521546975,17120,17164
train,10,11.033278465270996,14.37964916229248,0.000125835,2.734609365463257,35.45758089609444,470.0264253457775,167780,168220
train,20,10.28403377532959,13.557010650634766,0.00025300949999999996,2.605811834335327,33.12778760492802,506.85545923695213,337346,338252
train,30,9.200577735900879,12.29940128326416,0.0003,2.1014654636383057,35.801578503102064,483.05132687100775,505867,507225
train,40,8.382548332214355,11.24334716796875,0.0003,1.6653465032577515,32.97066913545132,505.418920421067,674759,676579
train,50,7.990261554718018,10.618271827697754,0.0003,1.354292869567871,30.549759248271585,552.7375801154753,841054,843318
train,60,7.5992913246154785,10.028590202331543,0.0003,1.1689411401748657,33.75491074472666,500.2827626388603,1007853,1010555
train,70,7.4369940757751465,9.774064064025879,0.0003,1.099922776222229,37.080694826319814,444.94851235336176,1173469,1176619
train,80,7.187983989715576,9.438699722290039,0.0003,0.8761814832687378,36.075335167348385,470.93117558549153,1341542,1345136
train,90,7.374655246734619,9.663931846618652,0.0003,0.9561713933944702,33.14103879407048,499.5618907082104,1510459,1514493
train,100,7.040612697601318,9.235330581665039,0.0003,2.695420265197754,36.542535884305835,450.05086817368834,1679022,1683514
train,110,7.141143321990967,9.34957504272461,0.0003,0.8539949059486389,33.289726097136736,506.40248438241025,1846809,1851751
train,120,6.962643623352051,9.118988990783691,0.0003,0.8783605694770813,34.81613899208605,471.4193036663482,2013303,2018681
train,130,6.764261722564697,8.868539810180664,0.0003,1.0640497207641602,34.87284057959914,477.6209715977045,2180556,2186374
train,140,6.801422595977783,8.908604621887207,0.0003,0.9301629066467285,36.85570698231459,470.40204677987197,2347322,2353584
train,150,6.630860328674316,8.693634986877441,0.0003,0.9373404383659363,37.62476974539459,438.0093250143335,2514018,2520744
train,160,6.642516136169434,8.699792861938477,0.0003,1.0292959213256836,31.87135400250554,518.1455421913284,2679765,2686921
train,170,6.625407695770264,8.67214298248291,0.0003,0.8910865187644958,36.07193876802921,461.2726836503518,2846186,2853782
train,180,6.679183483123779,8.737289428710938,0.0003,0.9532133340835571,33.5474676694721,492.1086790411619,3013127,3021169
train,190,6.471441745758057,8.459535598754883,0.0003,1.1155143976211548,34.69236304983497,473.9371594947671,3179950,3188442
train,200,6.562878608703613,8.578721046447754,0.0003,0.9359890222549438,39.47955590300262,424.624837249626,3347434,3356402
validation,200,6.710063207211561,8.769107049147253,,,,,,
train,210,6.479903221130371,8.473031044006348,0.0003,0.9512531161308289,34.96002314426005,481.14956705232544,3516551,3525973
train,220,6.370227336883545,8.327953338623047,0.0003,0.9304543137550354,37.66138438694179,449.71793458215285,3683535,3693403
train,230,6.048892498016357,7.910946369171143,0.0003,0.9180959463119507,40.635121162980795,412.45108960739634,3850345,3860669
train,240,6.311736583709717,8.254087448120117,0.0003,1.0656578540802002,31.645077727735043,530.9198525139003,4016754,4027518
train,250,6.486076354980469,8.468626022338867,0.0003,0.906321108341217,39.335942048579454,435.81007870177825,4183778,4194976
train,260,6.382505416870117,8.337031364440918,0.0003,0.9104706048965454,36.12066845782101,467.1286750881428,4351551,4363175
train,270,6.143888473510742,8.027194023132324,0.0003,1.1011854410171509,38.27994258515537,431.1134992767654,4517340,4529418
train,280,6.150497913360596,8.036231994628906,0.0003,0.8960418105125427,39.4924781024456,431.47456981041626,4684795,4697329
train,290,6.060327529907227,7.917372226715088,0.0003,1.1648074388504028,36.40876940265298,472.0016710794897,4851076,4864064
train,300,6.121010780334473,7.994865417480469,0.0003,1.0695674419403076,33.76274543069303,484.40965897080156,5018269,5031689
train,310,6.064268112182617,7.920938968658447,0.0003,1.0394266843795776,34.7836728412658,473.09552602729565,5185873,5199719
train,320,6.208630561828613,8.106898307800293,0.0003,0.9322447180747986,35.516899978742,475.125926252016,5354976,5369284
train,330,6.3753533363342285,8.326586723327637,0.0003,0.9829598069190979,30.368803050369024,542.8267940839928,5522754,5537488
train,340,6.04712438583374,7.892271995544434,0.0003,1.0469080209732056,39.419290859252214,433.2396557050588,5691069,5706261
train,350,6.317546367645264,8.249119758605957,0.0003,1.0337698459625244,33.22576241195202,506.05309794039954,5859141,5874789
train,360,6.19024658203125,8.076129913330078,0.0003,1.045554518699646,33.610660107806325,508.2613654479326,6027100,6043198
train,370,6.029228210449219,7.871349334716797,0.0003,0.9898129105567932,37.911026649177074,436.52207451784284,6195408,6211964
train,380,5.942399501800537,7.760815620422363,0.0003,1.0194309949874878,33.407052505761385,499.4753726663653,6362386,6379388
train,390,6.067284107208252,7.918272972106934,0.0003,1.0235074758529663,36.55289646051824,464.39548281311033,6530457,6547905
train,400,6.066801071166992,7.920101165771484,0.0003,1.1700968742370605,36.336438881233335,465.59323150232075,6698159,6716063
validation,400,6.2190313629757785,8.116121967035406,,,,,,
train,410,5.5471954345703125,7.245098114013672,0.0003,1.034131646156311,34.11574098095298,495.2552550282621,6865229,6883585
train,420,5.835648059844971,7.6201324462890625,0.0003,1.1054373979568481,35.01466949097812,484.2256187615486,7031810,7050620
train,430,5.887821197509766,7.688704490661621,0.0003,0.9830906391143799,34.94242247566581,485.48437109115343,7198782,7218034
train,440,5.941748142242432,7.756900310516357,0.0003,1.138769268989563,33.359315695241094,502.97794335132676,7365888,7385614
train,450,5.92618989944458,7.7385149002075195,0.0003,1.1785765886306763,36.33988096751273,469.456683560724,7533528,7553708
train,460,6.130914688110352,8.00364875793457,0.0003,1.0619220733642578,30.30846183001995,551.0012383227897,7700654,7721276
train,470,5.8020734786987305,7.578005790710449,0.0003,1.243172526359558,34.857166822999716,474.42180496116606,7866579,7887663
train,480,5.553575038909912,7.255712985992432,0.0003,0.9436593055725098,34.87584945373237,474.7124517200311,8034437,8055975
train,490,5.768540382385254,7.52920389175415,0.0003,1.0095349550247192,34.81738812662661,470.54075223612466,8201802,8223786
train,500,5.696466445922852,7.439573764801025,0.0003,1.089616060256958,34.64258946292102,496.44094932359263,8369290,8391734
train,510,5.900390148162842,7.700625419616699,0.0003,1.068146824836731,36.273663276806474,458.45934757389915,8536620,8559536
train,520,5.5137834548950195,7.203333377838135,0.0003,1.061136245727539,34.80824643187225,478.3923841895281,8703768,8727144
train,530,5.753631591796875,7.514979839324951,0.0003,0.9919937252998352,37.4213390853256,437.0768230048144,8872485,8896313
train,540,5.630026340484619,7.356635570526123,0.0003,1.3505741357803345,31.868567818775773,512.8878113678562,9039546,9063822
train,550,5.691511154174805,7.432738304138184,0.0003,1.0256843566894531,37.7202821560204,457.5787617019506,9209248,9233984
train,560,5.538272380828857,7.230039596557617,0.0003,0.9609976410865784,35.74598418734968,462.31766660514745,9377180,9402372
train,570,5.908278942108154,7.710182189941406,0.0003,1.1520031690597534,41.111641300842166,400.22727089864304,9544824,9570472
train,580,5.63779354095459,7.363590717315674,0.0003,1.1969006061553955,37.83690030314028,435.9765167822405,9712403,9738515
train,590,5.690639019012451,7.432364463806152,0.0003,1.5478546619415283,39.34529167227447,425.99760448112295,9879552,9906136
train,600,5.676827430725098,7.414414882659912,0.0003,1.074384331703186,36.26629030518234,478.5435690818376,10047452,10074484
