event,step,lm_loss,loss,lr,grad_norm,step_seconds,tokens_per_second,ce_tokens,input_tokens
validation,0,11.192768474663248,12.312231734774102,,,,,,
train,1,11.185264587402344,12.304914474487305,1.2854249999999998e-05,3.3355445861816406,32.763850471004844,523.1070143958681,17139,17252
train,10,11.025287628173828,12.131257057189941,0.00012553574999999998,3.2655954360961914,35.52444181405008,458.10712762736665,167381,168436
train,20,9.838273048400879,10.827310562133789,0.00024995925,1.4890385866165161,26.19789359346032,622.9890178679918,333279,335336
train,30,8.746601104736328,9.623476028442383,0.0003,1.04219388961792,30.877721896395087,547.8383430215074,500006,503067
train,40,8.19918155670166,9.020854949951172,0.0003,0.6215345859527588,28.332885306328535,590.4799253277296,664524,668675
train,50,7.879558563232422,8.663803100585938,0.0003,0.4513135850429535,32.04502511955798,525.6354125845148,831245,836407
train,60,7.65585994720459,8.414597511291504,0.0003,0.5103051662445068,33.5020754262805,490.6561695310766,999999,1006162
train,70,7.34165620803833,8.069762229919434,0.0003,0.46405160427093506,29.316067073494196,578.3859054999429,1166925,1174162
train,80,7.3333964347839355,8.06318473815918,0.0003,0.4121377766132355,29.570225151255727,567.8347024451707,1333163,1341411
train,90,7.093992710113525,7.798369407653809,0.0003,0.4622422456741333,30.96375367976725,525.7437508501187,1501055,1510384
train,100,6.962784767150879,7.65688419342041,0.0003,0.41911450028419495,32.3269134555012,528.259526648188,1668210,1678555
train,110,6.9341583251953125,7.625957489013672,0.0003,0.43660110235214233,29.77699845097959,561.843062441024,1835272,1846640
train,120,6.8915557861328125,7.57973575592041,0.0003,0.4218306839466095,28.870496051386,572.0026414027342,2000466,2012915
train,130,6.76883602142334,7.446033954620361,0.0003,0.43804243206977844,31.232895789667964,525.3755562885782,2167694,2181124
train,140,6.781289577484131,7.461180686950684,0.0003,0.43171995878219604,33.18104771897197,516.6503524901694,2335380,2349822
train,150,6.599291801452637,7.260786056518555,0.0003,0.42208418250083923,34.653928343206644,479.6858767458806,2502235,2517737
train,160,6.569847583770752,7.2288498878479,0.0003,0.44786790013313293,30.921808876097202,554.463035092789,2669323,2685849
train,170,6.525528430938721,7.180330276489258,0.0003,0.44967028498649597,34.68841974809766,480.59266236578134,2836334,2853870
train,180,6.604065895080566,7.267600059509277,0.0003,0.41294416785240173,33.53773848898709,497.55889191752067,3002986,3021605
train,190,6.295733451843262,6.929786205291748,0.0003,0.4467834234237671,33.3882199395448,487.92658097669477,3168930,3188553
train,200,6.656849384307861,7.325475692749023,0.0003,0.45669838786125183,32.0427969135344,508.5386286337955,3333442,3354091
validation,200,6.573540479770464,7.233333960001812,,,,,,
train,210,6.344228744506836,6.9841837882995605,0.0003,0.40792933106422424,32.82921149395406,506.4087513360385,3501013,3522753
train,220,6.351624965667725,6.989677429199219,0.0003,0.4707157015800476,31.84087649732828,533.8734943878306,3667657,3690376
train,230,6.153529644012451,6.772258758544922,0.0003,0.4140150249004364,36.00871516019106,461.36053247371274,3834224,3857952
train,240,6.259899139404297,6.890359878540039,0.0003,0.40127068758010864,33.975011713802814,503.31108474799703,4000469,4025193
train,250,6.239465713500977,6.865173816680908,0.0003,0.47940143942832947,31.187102638185024,534.9647318495165,4167369,4193166
train,260,6.266087532043457,6.8957929611206055,0.0003,0.43183428049087524,31.736219936981797,521.2340988576219,4334628,4361450
train,270,6.308939456939697,6.944884777069092,0.0003,0.4062088131904602,31.771844379603863,537.2051995494763,4502369,4530272
train,280,6.268205642700195,6.899538516998291,0.0003,0.43331143260002136,31.366998098790646,534.7021078388321,4668135,4697039
train,290,6.163957595825195,6.784578800201416,0.0003,0.4599294066429138,34.12144564837217,490.4540145355293,4834709,4864645
train,300,6.093980312347412,6.708600997924805,0.0003,0.4259176254272461,31.166669046506286,530.3742910522219,5001683,5032683
train,310,6.195512294769287,6.818284511566162,0.0003,0.4081411361694336,32.57003768347204,505.0347242412678,5169201,5201196
train,320,6.233882904052734,6.862829208374023,0.0003,0.42721039056777954,35.28106111288071,485.75636501315756,5337680,5370670
train,330,6.1035871505737305,6.717564105987549,0.0003,0.42135050892829895,35.352547608315945,465.086708380031,5504705,5538774
train,340,6.089905261993408,6.703940391540527,0.0003,0.44201433658599854,32.815267119556665,511.9568260344232,5670368,5705429
train,350,6.031325817108154,6.636936664581299,0.0003,0.441546231508255,28.531574917957187,579.8137693965214,5836328,5872403
train,360,5.941889762878418,6.540617942810059,0.0003,0.4377216398715973,33.113598288968205,500.5798480536105,6002647,6039832
train,370,5.963963985443115,6.565182209014893,0.0003,0.4134718179702759,34.061151625588536,506.47142497202407,6169367,6207559
train,380,5.696070194244385,6.269809246063232,0.0003,0.4347293972969055,37.195244090631604,457.66603812361046,6337229,6376440
train,390,6.0084309577941895,6.614838123321533,0.0003,0.4874271750450134,34.17231198772788,476.81877672928823,6503591,6543879
train,400,6.070148944854736,6.682000160217285,0.0003,0.40885302424430847,34.22538951970637,502.31714645938956,6670456,6711763
validation,400,6.06167575354107,6.672230198855817,,,,,,
train,410,5.848177433013916,6.436700344085693,0.0003,0.4075140953063965,33.37427990324795,492.20537634435493,6837045,6879352
