step,train_lm_loss,grad_norm,ce_tokens,input_tokens,vision_tokens,mtp_target_tokens,step_seconds
1,5.776655623787327,2.611604928970337,19,71,4,7,1.0432483535259962
2,5.695964336395264,2.5056405067443848,37,141,8,13,0.41084939055144787
3,5.677137494087219,3.3622121810913086,49,211,32,17,0.35214598290622234
4,5.6237791061401365,2.1504275798797607,64,287,52,22,0.3942116443067789
5,5.5775675773620605,2.041405200958252,79,363,72,27,0.4093994963914156
6,5.58756548166275,1.7299312353134155,95,432,84,33,0.37396744452416897
7,5.546790409088135,1.6915667057037354,110,499,96,38,0.3647993989288807
8,5.524795452753703,1.684682011604309,128,577,108,44,0.4363937955349684
9,5.50799789428711,1.664946436882019,143,645,120,49,0.3710185270756483
10,5.468908977508545,1.7431964874267578,158,721,140,54,0.3791025187820196
11,5.430935192108154,1.7388375997543335,173,797,160,59,0.386383555829525
12,5.429224967956543,1.761681318283081,188,868,176,64,0.37578772380948067
13,5.434400637944539,1.6738778352737427,206,942,184,70,0.4245985560119152
14,5.39583033323288,1.6317249536514282,222,1010,196,76,0.3570231683552265
15,5.367648124694824,1.6227126121520996,241,1085,204,83,0.4025722071528435
16,5.343676487604777,1.6579734086990356,259,1163,216,89,0.4179493263363838
17,5.28903169631958,1.7175240516662598,274,1239,236,94,0.38369967229664326
18,5.274072360992432,1.677747130393982,289,1310,252,99,0.3716335780918598
19,5.266326665878296,1.6454262733459473,307,1384,260,105,0.4034874066710472
20,5.191497325897217,1.7384010553359985,319,1454,284,109,0.33487468957901
21,5.223654556274414,1.6742321252822876,334,1522,296,114,0.3614606447517872
22,5.230223404733758,1.5417916774749756,353,1593,300,121,0.39827327989041805
23,5.1647907257080075,1.674897313117981,368,1660,312,126,0.36730932258069515
24,5.125800704956054,1.658389925956726,383,1727,324,131,0.37794180028140545
25,5.155199378728867,1.5736302137374878,399,1791,332,137,0.35592732951045036
26,5.060214161872864,1.7476035356521606,411,1857,352,141,0.3260824214667082
27,5.078632164001465,1.6933536529541016,426,1929,368,146,0.39217075519263744
28,5.0376763343811035,1.6619482040405273,441,2001,384,151,0.39351152814924717
29,5.012979984283447,1.6604539155960083,456,2073,400,156,0.38219160586595535
30,4.9569244384765625,1.6592304706573486,471,2149,420,161,0.40739197097718716
31,4.971860965092977,1.6281629800796509,489,2227,432,167,0.44646270386874676
32,4.895969390869141,1.714761734008789,504,2308,456,172,0.419376278296113
33,4.930229008197784,1.5625437498092651,520,2377,468,178,0.3692317195236683
34,4.893441200256348,1.6426485776901245,538,2455,480,184,0.43164636194705963
35,4.86183443069458,1.68082594871521,553,2522,492,189,0.3804509937763214
36,4.8570252656936646,1.6026219129562378,569,2586,500,195,0.37985799834132195
37,4.766087818145752,1.6804109811782837,584,2662,520,200,0.4086507298052311
38,4.751513385772705,1.733776330947876,599,2734,536,205,0.38358132168650627
39,4.775498580932617,1.6827845573425293,614,2802,548,210,0.37169497460126877
40,4.71745023727417,1.7132235765457153,629,2869,560,215,0.38644834235310555
41,4.7351977825164795,1.5946670770645142,645,2933,568,221,0.3748851530253887
42,4.678361177444458,1.6922763586044312,663,3007,576,227,0.43090711534023285
43,4.637769013643265,1.6130857467651367,679,3080,592,233,0.5732190236449242
44,4.568466514348984,1.6467623710632324,695,3157,612,239,0.3914740551263094
45,4.494307518005371,1.7427886724472046,710,3237,636,244,0.4040884170681238
46,4.517938709259033,1.7285692691802979,725,3304,648,249,0.3828653786331415
47,4.501844310760498,1.7040609121322632,740,3376,664,254,0.3770593386143446
48,4.4916941324869795,1.725006103515625,758,3454,676,260,0.4264802932739258
49,4.427789211273193,1.739328145980835,773,3521,688,265,0.3753405660390854
